overall,potential,age,league_id,league_name,club_team_id,club_name,value_eur,nationality_id,nationality_name,preferred_foot,club_jersey_number,Goalkeeper,Defense,Midfield,Attack
0.0828329816621836,1.5697883530941963,20,350,Pro League,607,Al Ittihad,3600000,51,Serbia,1,4,0,1,0,0
2.5836723365046588,2.2006654033461466,32,13,Premier League,9,Liverpool,51000000,54,Brazil,1,1,1,0,0,0
-0.8385288859113599,0.46575351515328306,19,80,Bundesliga,209,SK Sturm Graz,1100000,8,Bosnia and Herzegovina,1,23,0,1,1,0
-0.18041326621597167,-0.7960005853506178,27,80,Bundesliga,110720,Blau-Weiß Linz,1300000,4,Austria,1,15,0,1,0,0
-0.44365951409412696,0.30803425259029543,21,4,Pro League,110724,KV Mechelen,1800000,136,Senegal,0,4,0,1,0,0
-0.9701520098504375,0.7811920402792583,18,53,La Liga,453,RCD Mallorca,1000000,45,Spain,1,30,0,0,1,1
-0.5752826380332046,-1.2691583730395806,27,80,Bundesliga,110720,Blau-Weiß Linz,750000,4,Austria,1,17,0,1,0,0
-1.2333982577285927,-1.4268776356025683,24,350,Pro League,112096,Al Ettifaq,400000,183,Saudi Arabia,1,17,0,0,1,1
-1.496644505606748,-0.4805620602246426,18,10,Eredivisie,645,FC Volendam,475000,34,Netherlands,1,24,0,0,1,1
-0.5752826380332046,-1.5845968981655558,33,350,Pro League,112883,Al Khaleej,350000,183,Saudi Arabia,1,13,0,1,0,0
-1.496644505606748,-1.2691583730395806,22,4,Pro League,537,FCV Dender EH,450000,7,Belgium,1,23,0,0,1,0
-0.5752826380332046,-1.5845968981655558,31,80,Bundesliga,2015,Grazer AK 1902,500000,4,Austria,0,4,0,1,0,0
-2.4180063731802917,-1.111439110476593,19,350,Pro League,113037,Al Riyadh,150000,183,Saudi Arabia,1,49,0,0,1,0
-1.496644505606748,-0.0074042725356797704,19,4,Pro League,110724,KV Mechelen,525000,7,Belgium,1,21,0,0,1,1
-1.1017751337895152,0.15031499002730783,18,308,Primeira Liga,236,FC Porto,750000,56,Colombia,1,87,0,0,1,1
-0.048790142276894044,0.15031499002730783,24,308,Primeira Liga,131463,AVS Futebol SAD,2600000,56,Colombia,1,42,0,1,0,0
-0.9701520098504375,-0.6382813227876302,22,10,Eredivisie,1913,SC Heerenveen,825000,34,Netherlands,0,3,0,1,0,0
-0.3120363901550493,0.15031499002730783,23,2018,Serie A,110981,Barcelona de Guayaquil,2100000,57,Ecuador,1,14,0,1,1,0
-0.9701520098504375,0.7811920402792583,19,13,Premier League,1925,Brentford,975000,14,England,1,43,0,1,0,0
-1.6282676295458256,-2.688631736106469,28,350,Pro League,115892,Al-Najma SC,160000,183,Saudi Arabia,1,18,0,0,1,0
-1.3650213816676704,-0.7960005853506178,21,19,Bundesliga,110329,FC St. Pauli,500000,21,Germany,0,38,0,0,0,1
-0.18041326621597167,0.6234727777162706,20,31,Serie A,48,Napoli,2500000,27,Italy,1,35,0,1,0,0
-0.5752826380332046,-0.9537198479136054,26,10,Eredivisie,100646,Sparta Rotterdam,875000,61,Venezuela,0,13,0,1,0,0
-1.496644505606748,-0.7960005853506178,22,350,Pro League,113057,Al Fayha,475000,183,Saudi Arabia,1,66,0,1,1,0
-1.496644505606748,0.46575351515328306,17,10,Eredivisie,1904,NAC Breda,550000,34,Netherlands,1,26,0,0,0,1
-0.7069057619722823,-1.2691583730395806,26,80,Bundesliga,252,LASK Linz,775000,95,United States,0,7,0,0,0,1
-2.4180063731802917,-1.111439110476593,20,350,Pro League,113037,Al Riyadh,150000,183,Saudi Arabia,0,16,0,0,1,0
-0.9701520098504375,-0.6382813227876302,22,10,Eredivisie,100632,Go Ahead Eagles,850000,34,Netherlands,0,26,0,1,1,0
-1.3650213816676704,0.6234727777162706,18,19,Bundesliga,110329,FC St. Pauli,600000,21,Germany,1,42,0,0,1,0
-1.6282676295458256,-2.688631736106469,26,350,Pro League,113060,Al Akhdoud Saudi Club,190000,183,Saudi Arabia,1,10,0,1,1,1
-0.8385288859113599,-1.111439110476593,23,2018,Serie A,114615,Mushuc Runa,650000,56,Colombia,1,37,0,1,0,0
-0.5752826380332046,-0.16512353509866737,22,308,Primeira Liga,1888,Gil Vicente FC,1600000,54,Brazil,0,29,0,0,0,1
